ingredients,instructions,time,title
"['1 ½ cups gingersnap cookie crumbs', '¾ cup ground hazelnuts', '3 tablespoons brown sugar', '6 tablespoons unsalted butter, melted', '3 (8 ounce) packages cream cheese, softened', '1 cup brown sugar', '1 ½ cups canned solid pack pumpkin', '½ cup heavy cream', '⅓ cup maple syrup', '1 tablespoon vanilla extract', '¾ teaspoon ground cinnamon', '½ teaspoon ground allspice', '4 eggs']","Preheat oven to 325 degrees F (165 degrees C). Grease and flour a 9 inch springform pan.
Using a fork, combine gingersnaps, hazelnuts, 3 tablespoons brown sugar and melted butter.  Press mixture onto the bottom and two inches up the sides of the pan to form the crust.
With an electric mixer, beat cream cheese and brown sugar until light and fluffy.  Stir in the pumpkin.  Mix in the cream, maple syrup, cinnamon, allspice and vanilla.  Beat in the eggs, one at a time, mixing until smooth.
Pour batter into prepared crust. Bake in the preheated oven for 90 minutes, or until center of cheesecake is set.  Allow to cool in pan for 30 minutes, then refrigerate overnight.",600,Pumpkin Cheesecake in a Gingersnap Crust
"['1 (18.25 ounce) package yellow cake mix', '1 (3.9 ounce) package instant chocolate pudding mix', '½ cup white sugar', '¾ cup water', '¾ cup vegetable oil', '4 eggs, beaten', '1 cup sour cream', '½ cup milk chocolate chips', ""⅛ cup confectioners' sugar for dusting""]","Preheat oven to 325 degrees F (165 degrees C). Grease and flour a 10 inch Bundt pan.
In a medium bowl, stir together the cake mix, instant pudding and sugar. Add the water, oil, eggs, and sour cream, mix until well blended. Finally, fold in the chocolate chips. Pour into the prepared Bundt pan.
Bake for 50 to 60 minutes in the preheated oven. Cake is done when a toothpick inserted comes out clean. Cool in pan for 10 minutes before inverting onto a wire rack to cool completely. Dust with confectioners' sugar before cutting and serving.",70,Easy Chocolate Chip Pound Cake
"['1 cup butter', '½ cup white sugar', '2 teaspoons vanilla extract', '2 teaspoons water', '2 cups all-purpose flour', '1 cup chopped almonds', ""½ cup confectioners' sugar""]","In a medium bowl, cream the butter and sugar. Stir in vanilla and water. Add the flour and almonds, mix until blended. Cover and chill for 3 hours.
Preheat oven to 325 degrees.
Shape dough into balls or crescents. Place on an unprepared cookie sheet and bake for 15 to 20 minutes in the preheated oven. Remove from pan to cool on wire racks. When cookies are cool, roll in confectioners' sugar. Store at room temperature in an airtight container.",0,Mexican Wedding Cookies
"['2 cups peanut butter', '2 cups white sugar', '4 eggs, beaten', '2 cups semi-sweet chocolate chips (optional)', '1 ½ cups chopped pecans (optional)']","Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheet.
Combine peanut butter, eggs, and sugar and mix until smooth. Mix in chocolate chips and nuts, if desired. Spoon dough by tablespoons onto a cookie sheet.
Bake for 10 to 12 minutes or until lightly browned. Let the cookies cool on the cookie sheets for 5 to 10 minutes before removing.",52,Gluten-Free Peanut Butter Cookies
"['1 cup butter, softened', '3 cups white sugar', '6 eggs', '1 ounce red food coloring', '3 tablespoons unsweetened cocoa powder', '3 cups all-purpose flour', '1 cup buttermilk', '1 teaspoon vanilla extract', '½ teaspoon salt', '1 teaspoon baking soda', '1 tablespoon white vinegar', '2 (8 ounce) packages cream cheese', '12 ounces white chocolate', '1 cup butter, softened']","Preheat oven to 325 degrees F (165 degrees C). Grease and flour three 8 inch pans.
In a large bowl, cream 1 cup butter with sugar. Add eggs one at a time, beating well after each addition.  Mix food coloring with cocoa and add to mixture.
Add flour alternately with buttermilk. Add vanilla and salt.
Mix baking soda with vinegar, and gently stir into mixture. Be careful not to over mix.
Divide batter into three prepared 8 inch round pans. Bake at 325 degrees F (165 degrees C) for 25 minutes. Allow to cool.
To make the White Chocolate Cream Cheese Icing: Melt the white chocolate and allow to cool to lukewarm. In a large bowl, beat the cream cheese until light and fluffy. Gradually beat in melted white chocolate and softened butter. Beat until it is the consistency of whipped cream, then use to fill and frost the cake.",0,Red Velvet Cake IV
"['2/3 cup white sugar', '1/3 cup all-purpose flour', '1/4 teaspoon salt', '3 eggs, beaten', '2 cups milk', '1/2 teaspoon vanilla extract', '2 tablespoons butter, softened', '2 bananas, peeled and sliced', '1/2 (12 ounce) package vanilla wafer cookies']","In medium saucepan combine sugar, flour, and salt. Add eggs and stir well. Stir in milk, and cook over low heat, stirring constantly. When mixture begins to thicken, remove from heat and continue to stir, cooling slightly. Stir in vanilla and butter until smooth.
Layer pudding with bananas and vanilla wafers in a serving dish. Chill at least one hour in refrigerator before serving.",90,Banana Pudding I
"['1 cup rolled oats', '1 cup all-purpose flour', '3/4 cup brown sugar', '1/2 teaspoon ground cinnamon', '1/2 cup butter', '1 (21 ounce) can cherry pie filling']","Preheat oven to 375 degrees F (190 degrees C.)
In a medium bowl, combine the rolled oats, flour, brown sugar and cinnamon. Cut in butter until mixture resembles coarse crumbs.
Sprinkle one half of crumb mixture in the bottom of a 9 inch square baking dish. Cover with cherry pie filling. Sprinkle remaining crumb mixture over pie filling.
Bake in the preheated oven for 40 minutes, or until topping is golden brown. Serve warm.",55,Cherry Crunch
"['6 fresh peaches - peeled, pitted, and sliced', '1/2 teaspoon almond extract', '1 cup all-purpose flour', '1 cup white sugar', '1/4 cup brown sugar', '1/2 teaspoon ground cinnamon', '1/4 teaspoon salt', '1/2 cup butter']","Preheat an oven to 375 degrees F (190 degrees C), and grease an 8 inch square baking dish.
Place the peaches in the bottom of the baking dish, and sprinkle them with almond extract.
In a bowl, combine the flour, sugar, brown sugar, cinnamon, and salt. Cut the butter into the flour mixture with a pastry cutter until the mixture resembles crumbs.
Sprinkle the flour mixture in an even layer over the top of the peaches, and bake in the preheated oven for about 45 minutes, until the peaches are bubbling and the topping is browned.",60,Juicy Peach Crisp
"['1 pound chopped nuts', '1 teaspoon ground cinnamon', '1 (16 ounce) package phyllo dough', '1 cup butter, melted', '1 cup white sugar', '1 cup water', '1/2 cup honey', '1 teaspoon vanilla extract', '1 teaspoon grated lemon zest']","Preheat oven to 350 degrees F (175 degrees C). Butter a 9x13 inch baking dish.
Toss together cinnamon and nuts. Unroll phyllo and cut whole stack in half to fit the dish. Cover phyllo with a damp cloth while assembling the baklava, to keep it from drying out.
Place two sheets of phyllo in the bottom of the prepared dish. Brush generously with butter. Sprinkle 2 to 3 tablespoons of the nut mixture on top. Repeat layers until all ingredients are used, ending with about 6 sheets of phyllo. Using a sharp knife, cut baklava (all the way through to the bottom of the dish) into four long rows, then (nine times) diagonally to make 36 diamond shapes.
Bake in preheated oven until golden brown and crisp, about 50 minutes.
While baklava is baking, combine sugar and water in a small saucepan over medium heat and bring to a boil. Stir in honey, vanilla and lemon or orange zest; reduce heat and simmer 20 minutes.
Remove the baklava from the oven and immediately spoon the syrup over it. Let cool completely before serving. Store uncovered.",120,Easy Baklava
"['1 cup butter, softened', '2 cups white sugar', '2 cups cooked and mashed sweet potatoes', '1 teaspoon vanilla extract', '4 eggs', '3 cups all-purpose flour', '2 teaspoons baking powder', '1 teaspoon ground cinnamon', '½ teaspoon baking soda', '½ teaspoon ground nutmeg', '¼ teaspoon salt', ""1 cup sifted confectioners' sugar"", '5 teaspoons orange juice', '2 tablespoons grated orange zest']","Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 10-inch tube pan. Sift together flour, baking powder, cinnamon, baking soda, nutmeg and salt. Set aside.
In large mixing bowl, cream butter and sugar until light and fluffy. Add mashed sweet potatoes and vanilla. Beat until well blended. Add eggs, one at a time (the batter will look curdled). Add flour mixture to potato mixture. Beat on low until combined.
Pour batter into 10 inch tube pan. Bake at 350 degrees F (175 degrees C) for about 1 hour and 20 minutes, or until a wooden toothpick inserted into cake comes out clean. Cool cake for 20 minutes in the pan, then invert onto serving plate.
To make the glaze:  in a small bowl, combine confectioners sugar with 3 to 5 teaspoons orange juice to achieve drizzling consistency. Spoon over warm cake and sprinkle with orange zest if desired.",120,Sweet Potato Pound Cake
"['2 (8 ounce) cans refrigerated crescent rolls', '2 large Granny Smith apples - peeled, cored, and cut into 8 wedges each', '1 cup butter, melted', '1 1/2 cups white sugar', '1 tablespoon ground cinnamon', '1 (12 fluid ounce) can or bottle caffeinated citrus-flavored soda (such as Mountain Dew®)']","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13 inch baking dish.
Unroll the crescent roll dough, and separate the sheets into individual triangles. Roll each apple wedge into a triangle of dough, and place them into the baking dish, seam sides down.
Mix the melted butter, sugar, and cinnamon in a bowl, and spoon evenly over the dough-wrapped apple slices. Pour the soda over the rolls.
Bake in the preheated oven until the top is browned, the apples are cooked through, and the cobbler is bubbling, 45 to 50 minutes.",65,Mountain Apple Cobbler
"['4 eggs', '2 cups milk', '1 cup white sugar', '1 tablespoon vanilla extract', '4 cups cubed French bread', '2 bananas, sliced', '1 cup semisweet chocolate chips']","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x5 inch loaf pan.
In a large mixing bowl, mix eggs, milk, sugar, and vanilla until smooth. Stir in bread, bananas, and chocolate chips, and let rest 5 minutes for bread to soak. Pour into prepared pan.
Line a roasting pan with a damp kitchen towel. Place loaf pan on towel inside roasting pan, and place roasting pan on oven rack. Fill roasting pan with water to reach halfway up the sides of the loaf pan. Bake in preheated oven for 1 hour, or until a knife inserted in the center comes out clean.",80,Chocolate Banana Bread Pudding
"['3 cups white sugar', '3/4 cup margarine', '2/3 cup evaporated milk', '1 (12 ounce) package semisweet chocolate chips', '1 (7 ounce) jar marshmallow creme', '1 cup chopped walnuts', '1 teaspoon vanilla extract']","Grease a 9x13-inch pan.
Mix sugar, margarine, and evaporated milk in a large, heavy saucepan over medium heat, stirring to dissolve sugar. Bring mixture to a full boil for 5 minutes, stirring constantly.
Remove from heat and stir in chocolate chips until melted and thoroughly combined. Beat in marshmallow creme, walnuts, and vanilla extract. Transfer fudge to the prepared pan and let cool before cutting into squares.",80,The Original Fantasy Fudge
"['1 cup butter', '1 cup white sugar', '2 eggs', '½ teaspoon vanilla extract', '3 ¼ cups all-purpose flour', '½ teaspoon baking powder', '½ teaspoon baking soda', '½ teaspoon salt', '½ cup shortening', ""1 pound confectioners' sugar"", '5 tablespoons water', '¼ teaspoon salt', '½ teaspoon vanilla extract', '¼ teaspoon butter flavored extract']","In a large bowl, mix together butter, sugar, eggs, and vanilla with an electric mixer until light and fluffy.  Combine the flour, baking powder, baking soda, and salt; gradually stir  flour mixture into butter mixture until well blended using a sturdy spoon. Chill dough for 2 hours.
Preheat the oven to 400 degrees F (200 degrees C). On a lightly floured surface, roll out the dough to 1/4 inch thickness. Cut into desired shapes using cookie cutters. Place cookies 2 inches apart onto ungreased cookie sheets.
Bake for 4 to 6 minutes in the preheated oven. Remove cookies from pan and cool on wire racks.
Using an electric mixer, beat shortening, confectioners sugar, water, salt, vanilla extract, and butter flavoring until fluffy. Frost cookies after they have cooled completely.",140,Sugar Cookies with Buttercream Frosting
"['2 cups all-purpose flour', '1 teaspoon ground cinnamon', '1 teaspoon ground nutmeg', '1 teaspoon ground allspice', '½ teaspoon salt', '1 cup butter, softened', '2 cups white sugar', '4 eggs', '1 teaspoon baking soda', '1 tablespoon warm water', '1 teaspoon vanilla extract', '3 apples - peeled, cored and chopped', '½ cup raisins', ""¼ cup confectioners' sugar for dusting""]","Preheat oven to 350 degrees F (175 degrees C).  Butter a 10 inch tube pan. Cover raisins with warm water, let soak for 10 minutes and then drain. Whisk together flour, spices, and salt. Set aside.
Cream together butter or margarine and sugar.  Mix in eggs and vanilla.  Stir together soda and 1 tablespoon warm water, and mix into the sugar mixture. Stir in flour mixture, apples, and strained raisins until well blended.  Pour batter into prepared pan.
Bake for approximately 1 hour, or until a tester comes out clean.  Cool in pan.  Once cool, shake pan to loosen cake.  Turn onto plate, and dust with confectioners' sugar.",0,Apple Spice Cake
"['Crumb:', '1 1/2 cups pecans, finely chopped', '1/3 cup white sugar', '1/3 cup packed light brown sugar', '1 teaspoon cinnamon', '1/8 teaspoon salt', '3 tablespoons melted butter', 'Cake:', '1 7/8 cups all-purpose flour', '1/2 teaspoon fine sea salt', '1 teaspoon baking powder', '3/4 teaspoon baking soda', '1/2 cup butter', '1 cup white sugar', '2 large eggs', '1 1/2 teaspoons vanilla extract', '1 cup sour cream or creme fraiche']","Preheat oven to 350 degrees F (175 degrees C). Butter an 8-inch by 10-inch baking dish.
Mix pecans, 1/3 cup white sugar, brown sugar, cinnamon, salt, and melted butter thoroughly in a mixing bowl until all components are coated with butter, 3 to 4 minutes.
In a separate bowl, whisk together flour, salt, baking powder, and baking soda.
In another bowl, mix together butter and 1 cup sugar with a spatula until well blended. Add 1 egg and whisk until mixture is smooth, 2 to 3 minutes. Whisk in second egg until thoroughly incorporated. Add vanilla and sour cream; whisk together. Add flour mixture to wet ingredients; whisk until flour disappears (do not over mix).
Spread one half of the batter evenly into the bottom of the prepared baking dish. Scatter one half of the crumb mixture evenly over the top of the batter. Top with the rest of the batter and spread carefully to evenly distribute, trying not to disturb the crumbs. Top with the rest of the crumb mixture. Very gently press crumbs into batter. Bake in preheated oven until a bamboo skewer comes out clean, 30 to 35 minutes. Let cool slightly before serving.",55,Pecan Sour Cream Coffee Cake
"[""1 (18.25 ounce) package devil's food cake mix with pudding"", '3 eggs', '1 tablespoon almond extract', '1 (21 ounce) can cherry pie filling', '1 ½ cups semisweet chocolate chips', '1 tablespoon butter', '2 tablespoons milk', ""½ cup confectioners' sugar""]","Preheat oven to 350 degrees F (175 degrees C).
Mix together: cake mix, beaten eggs, almond extract, cherry pie filling and 1 cup semisweet chocolate chips. Stir until just combined.  Pour batter into a greased 9x13 inch pan.
Bake in a 350 degree F (175 degree C) oven for 45 to 50 minutes or until a toothpick inserted in the center comes out clean.  Remove cake from oven and let cool.
To Make Glaze: Heat 1/2 cup semisweet chocolate chips, butter or margarine, and milk in a saucepan over medium high heat.  Once  semisweet chocolate chips are melted and mixture is combined stir in confectioners' sugar.
Spread glaze over cooled cake. Serve cake as is or with whipped cream and a cherry.",0,Quick Black Forest Cake
"['1 pound bittersweet chocolate', '80 buttery round crackers', '½ teaspoon peppermint extract']","Using a double boiler method, melt the chocolate coatings over hot tap water for 15 - 20 minutes. Stir . Do not cook or get water into the chocolate.
After it is melted, stir in a couple drops of peppermint flavor into the chocolate.
Dip crackers into the melted chocolate and then place onto a cold cookie sheet and put into the refrigerator to set.  (A freezing tray to rest the dipped cookies will keep the bottoms neat looking.)
In a few minutes take them out and package in candy cups. The cookies are best kept at room temperature or a cool  dry place away from any odors.",0,Thin Mint Crackers
"['1 (8 ounce) container frozen whipped topping, thawed', '2 1/2 cups shredded coconut', '1/2 cup chopped walnuts', '1 (8 ounce) can fruit cocktail, drained', '1 (8 ounce) can pineapple chunks, drained', '1 (11 ounce) can mandarin oranges, drained', '3 cups miniature marshmallows', '1 (10 ounce) jar maraschino cherries, drained (optional)', '1 teaspoon ground nutmeg', '1 teaspoon ground cinnamon']","In a large bowl, combine the whipped topping, coconut, chopped nuts, fruit cocktail, pineapple, mandarin oranges, marshmallows, cherries, nutmeg and cinnamon. Mix together well and refrigerate for 30 to 45 minutes.",45,Ambrosia Fruit Salad
"['2 cups all-purpose flour', '2 cups white sugar', '2 teaspoons baking soda', '2 teaspoons baking powder', '1 cup unsweetened cocoa powder', '1 pinch salt', '⅔ cup shortening', '2 cups boiling water', '2 eggs, beaten', '2 teaspoons vanilla extract']","Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x13 inch pan. Sift together the flour, sugar, baking soda, baking powder, cocoa and salt. Set aside.
Melt the shortening in the boiling water, then stir into the flour mixture until blended.  Beat in the eggs, then stir in the vanilla.
Pour batter into prepared pan. Bake in the preheated oven for 30 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool.",40,Black Chocolate Cake
"['1 (8 ounce) package cream cheese, softened', '1 cup white sugar', '1 teaspoon vanilla extract', '2 (8 ounce) packages refrigerated crescent rolls', '½ cup melted butter', '½ cup white sugar', '1 teaspoon ground cinnamon']","Preheat an oven to 350 degrees F (175 degrees C). Prepare a 9x13 inch baking dish with cooking spray.
Beat the cream cheese with 1 cup of sugar and the vanilla extract in a bowl until smooth; set aside.
Unroll the cans of crescent roll dough, and use a rolling pin to shape each sheet into 9x13 inch rectangles. Press one sheet into the bottom of a 9x13 inch baking dish. Evenly spread the cream cheese mixture into the baking dish, then cover with the remaining piece of crescent dough, and brush with melted butter. Stir together 1/2 cup of sugar with the cinnamon in a small bowl, and sprinkle evenly over the top of the cheesecake.
Bake in the preheated oven until the crescent dough has puffed and turned golden brown, about 30 minutes. Allow to cool 10 minutes before serving.",45,Sopapilla Cheesecake
"['1 cup butter or margarine', '1 cup white sugar', '1 cup packed brown sugar', '3 eggs', '1 teaspoon vanilla extract', '½ teaspoon salt', '1 teaspoon baking soda', '3 ½ cups all-purpose flour', '1 cup semisweet chocolate chips']","Preheat the oven to 350 degrees F (175 degrees C).
In a large bowl, stir together the butter, white sugar and brown sugar until smooth. Mix in eggs one at a time, then stir in the vanilla. Combine the flour, baking soda and salt; stir into the batter just until blended, then mix in the chocolate chips so they are evenly distributed. Drop cookies by heaping teaspoonfuls onto ungreased cookie sheets spacing 2 inches apart.
Bake in the preheated oven until the edges begin to turn golden, 12 to 15 minutes. Allow cookies to cool for a few minutes on the baking sheets before removing to wire racks to cool completely.",25,Ultimate High Altitude Chocolate Chip Cookies
"['⅓ cup butter', '¾ cup white sugar', '2 eggs', '1 teaspoon vanilla extract', '¼ teaspoon almond extract', '2 teaspoons orange zest', '2 ¼ cups all-purpose flour', '1 ½ teaspoons baking powder', '⅛ teaspoon ground nutmeg', '¼ teaspoon salt', '1 cup semisweet chocolate chips', '½ cup toasted almond pieces']","Preheat the oven to 325 degrees F (165 degrees C). Grease and flour a large baking sheet.
In a large bowl, cream butter and sugar until light and fluffy. Beat in eggs, vanilla, almond extract, and zest. Combine flour, baking powder, nutmeg, and salt. Stir into the creamed mixture until just blended. Mix in almonds. Divide dough into two pieces. Form into long flat loaves about 1/2 inch tall and 12 inches long. Place the loaves 2 inches apart on the prepared baking sheet.
Bake in preheated oven for 25 minutes, or until a light golden brown. Cool on a wire rack for 5 minutes.
With a serrated knife, cut diagonally into slices about 1/2 inch thick. Lay the slices flat on the baking sheet. Bake for 10 minutes, turning over once. Transfer to a wire rack to cool.
Place chocolate chips into a small, microwave-safe bowl. Melt chocolate in the microwave, stirring every 20 to 30 seconds until smooth. Use a spatula to spread chocolate onto one side of each cookie. Let stand at room temperature until set. Store biscotti at room temperature in an airtight container.",90,Biscotti Toscani
"['1 ½ cups all-purpose flour', '1 ½ cups brown sugar, divided', '½ cup butter, softened', '1 cup pecan halves', '⅔ cup butter', '1 cup milk chocolate chips']","Preheat oven to 350 degrees F (175 degrees C).
Combine flour, 1 cup brown sugar, and softened butter in large mixer bowl. Beat at medium speed for 2 to 3 minutes or until mixture resembles fine crumbs. Pat mixture evenly onto bottom of ungreased 13x9-inch baking pan. Sprinkle pecans evenly over crumb mixture.
Combine 2/3 cup butter and remaining 1/2 cup brown sugar in small saucepan. Cook and stir over medium heat until entire surface is bubbly; cook, stirring constantly, 1/2 to 1 minute more. Pour into pan, spreading evenly over crust.
Bake in preheated oven until entire surface is bubbly, 18 to 20 minutes. Remove from oven; immediately sprinkle with chocolate pieces. Let stand 2 to 3 minutes to allow chocolate to melt; use a knife or small spatula to swirl chocolate slightly. Cool completely in pan on a wire rack. Use sharp knife to cut into 48 bars.",75,Pecan Turtles&reg; Bars
"['2 ¾ cups cake flour', '2 ½ teaspoons baking powder', '2 cups white sugar', '1 (3 ounce) package strawberry flavored Jell-O&reg;', '1 cup butter, softened', '4 eggs', '1 cup milk', '1 teaspoon vanilla extract', '½ cup strawberries, pureed', '1 ½ cups heavy cream', '2 tablespoons sugar', '½ teaspoon vanilla extract', '1 ½ cups fresh strawberries, sliced', '½ cup margarine, softened', '1 (8 ounce) package cream cheese, softened', ""4 cups confectioners' sugar"", '2 teaspoons vanilla extract', '1 ½ cups quartered strawberries']","Preheat oven to 350 degrees F (175 degrees C). Grease and flour three 9 inch round cake pans.
In a large bowl, beat sugar, gelatin and butter until fluffy. Add eggs one at a time, beating well with each addition. Mix flour and baking powder, and beat alternately with the milk into the sugar mixture. Fold in 1 teaspoon vanilla and pureed strawberries. Divide equally into three 9 inch round cake pans.
Bake 25 minutes in the preheated oven, or until toothpick inserted into cake comes out clean. Cool for 10 minutes in the pans, then remove from pans and cool completely.
To make the filling:  Beat whipping cream, 2 tablespoons sugar and 1/2 teaspoon vanilla on high until stiff. Fill each layer with 1/3 of the whipped cream and 3/4 cup sliced strawberries.
To make the frosting: Beat the margarine, cream cheese, confectioners' sugar, and vanilla until creamy. Spread over the sides of the cake, and pipe an edge of frosting around the top of the cake.
Spread remaining whipped cream on cake top. Top with quartered strawberries.",85,Strawberries and Cream Cake
"['1 3/4 pounds carrots, peeled and chopped', '1 cup white sugar', '1 1/2 teaspoons baking powder', '1 1/2 teaspoons vanilla extract', '2 tablespoons all-purpose flour', '3 eggs, beaten', '1/2 cup margarine, softened', ""2 teaspoons confectioners' sugar""]","Preheat oven to 350 degrees F (175 degrees C).
In a large pot of boiling water, cook the carrots until very tender. Drain, and transfer to a large mixing bowl.
While carrots are warm, use an electric mixer to beat with sugar, baking powder, and vanilla extract until smooth. Mix in the flour, eggs, and margarine. Transfer to a 2 quart baking dish.
Bake 1 hour in the preheated oven, or until top is golden brown. Sprinkle lightly with confectioners' sugar before serving.",90,Fresh Carrot Souffle
"['⅓ cup butter, softened', '⅓ cup packed brown sugar', '⅓ cup chopped walnuts', '1 cup sifted all-purpose flour', '¼ cup white sugar', '8 ounces cream cheese', '1 tablespoon lemon juice', '2 tablespoons milk', '1 egg', '½ teaspoon vanilla extract']","Preheat oven to 350 degrees F(175 degrees C).
To make Pastry:  Cream together the butter and brown sugar until light and fluffy.  Add in the flour and chopped nuts and stir until mixture becomes crumbly.    Set aside 1/4 cup  to use as a topping.
Press pastry mixture into 8-inch square pan and  bake for 12 to 15 minutes.  Let cool on rack.
To make Filling:  Beat together the white sugar,  and cream cheese until smooth.  Stir in the egg, milk, lemon juice, and vanilla and mix well. Spread filling mixture over baked crust.  Sprinkle reserved mixture on as a topping.
Bake for 25 to 30 minutes.  Let cool on wire rack and refrigerate.  Serve with fruit.",60,Cheesecake Bars
"['½ cup shortening', '½ cup white sugar', '½ cup packed brown sugar', '1 egg', '½ teaspoon vanilla extract', '1 cup all-purpose flour', '½ teaspoon baking powder', '½ teaspoon baking soda', '½ teaspoon salt', '¾ cup rolled oats', '½ cup flaked coconut (optional)', '½ cup miniature semi-sweet chocolate chips (optional)']","Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets.
In a large bowl, cream together the shortening, white sugar and brown sugar. Mix in the egg and vanilla until well blended. Combine the flour, baking powder, baking soda and salt; stir into the batter until well blended. Mix in the oats, coconut and chocolate chips until evenly distributed. Roll dough into walnut sized balls and place 2 inches apart onto prepared cookie sheets.
Bake for 12 minutes in the preheated oven, or until edges are lightly browned.",27,Crisp Oatmeal Cookies
"['4 cups pitted sour cherries', '1 1/2 cups white sugar', '4 tablespoons all-purpose flour', '1 1/2 cups all-purpose flour', '1 cup old-fashioned oats', '1 cup brown sugar', '1/2 cup butter', '1/2 cup shortening']","Preheat oven to 375 degrees F (190 degrees C).
In a large bowl, combine cherries, 1 1/2 cups white sugar, and 4 tablespoons flour. Pour into 9x13 inch baking dish. In a medium bowl, combine 1 1/2 cups flour, oats, and brown sugar. Cut in butter and shortening until crumbly. Sprinkle over cherries.
Bake in preheated oven for 45 to 50 minutes, or until topping is golden brown.",60,Fresh Cherry Crisp
"['Cupcakes:', '4 eggs, slightly beaten', '3/4 cup Mazola® Vegetable Plus! Oil', '2 cups sugar', '1 (15 ounce) can pumpkin', '1 3/4 cups all-purpose flour', ""1/4 cup Argo® OR Kingsford's® Corn Starch"", '4 teaspoons Spice Islands® Pumpkin Pie Spice', '2 teaspoons Argo® Baking Powder', '1 teaspoon baking soda', '3/4 teaspoon salt', 'Frosting:', '1 (8 ounce) package cream cheese, softened', '3 tablespoons butter OR margarine, softened', '1 tablespoon orange juice', '2 teaspoons Spice Islands® 100% Pure Bourbon Vanilla Extract', '1 1/2 teaspoons freshly grated orange peel', '4 cups powdered sugar']","To make cupcakes: Blend the eggs, oil, sugar, and pumpkin in a large mixing bowl; set aside. Stir together dry ingredients in a separate bowl. Add dry ingredients to pumpkin mixture and beat until well blended. POUR into lined muffin tins. Fill about 2/3 full. Bake in preheated 350 degrees oven for 30 minutes or until center springs back when touched. Cool 30 minutes. Spread with frosting.
To make frosting: Beat cream cheese and butter until fluffy. Add remaining ingredients and beat until smooth. Spread over cooled cupcakes.",80,Harvest Pumpkin Cupcakes
"['1 (18.25 ounce) package yellow cake mix', '½ cup butter, softened', '2 eggs', '1 teaspoon vanilla extract', '2 cups semisweet chocolate chips']","Preheat oven to 350 degrees F (175 degrees C).
Pour the cake mix into a large bowl. Stir in the butter, eggs and vanilla with an electric mixer until well blended.  Stir in the chocolate chips. Drop by rounded spoonfuls onto cookie sheets.
Bake for 11 to 15 minutes in the preheated oven, until the edges are golden. Cool on baking sheets for a few minutes before removing to cool on wire racks.",30,Easy Chocolate Chip Cookies
"['¼ cup butter', '¾ cup white sugar', '1 egg', '½ cup milk', '2 cups all-purpose flour', '2 teaspoons baking powder', '½ teaspoon salt', '2 cups blueberries', '½ cup brown sugar', '3 tablespoons all-purpose flour', '1 teaspoon ground cinnamon', '½ cup chopped pecans', '3 tablespoons butter']","Preheat oven to 375 degrees F (190 degrees C). Grease and flour a 9 inch springform pan. Sift together the flour, baking powder and salt. Set aside.
In a large bowl, cream together the butter and sugar until light and fluffy. Beat in the egg. Beat in the flour mixture alternately with the milk, mixing just until incorporated. Stir in the blueberries. Pour batter into prepared pan. In a small bowl, combine brown sugar, 3 tablespoons flour, cinnamon and chopped pecans. Cut in butter until crumbly. Sprinkle over the batter.
Bake in the preheated oven for 40 to 45 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool.",60,Blueberry Coffee Cake III
"['1 (18.25 ounce) package butter pecan cake mix', '1 (16 ounce) container coconut pecan frosting', '4 eggs', '¾ cup vegetable oil', '1 cup water', '1 cup chopped pecans']","Preheat oven to 350 degrees F (175 degrees C). Spray a 9 or 10 inch Bundt pan with non-stick cooking spray.
Combine the cake mix with the frosting, eggs, oil, water and 1/2 of the pecan pieces. Mix until combined.
Sprinkle the remaining 1/2 of pecans in the prepared Bundt pan then pour in the cake batter.
Bake at 350 degrees F (175 degrees C) for 50 minutes or until a toothpick comes out clean.",0,Southern Praline Pecan Cake
"['Cupcakes:', '4 eggs, slightly beaten', '3/4 cup Mazola® Vegetable Plus! Oil', '2 cups sugar', '1 (15 ounce) can pumpkin', '1 3/4 cups all-purpose flour', ""1/4 cup Argo® OR Kingsford's® Corn Starch"", '4 teaspoons Spice Islands® Pumpkin Pie Spice', '2 teaspoons Argo® Baking Powder', '1 teaspoon baking soda', '3/4 teaspoon salt', 'Frosting:', '1 (8 ounce) package cream cheese, softened', '3 tablespoons butter OR margarine, softened', '1 tablespoon orange juice', '2 teaspoons Spice Islands® 100% Pure Bourbon Vanilla Extract', '1 1/2 teaspoons freshly grated orange peel', '4 cups powdered sugar']","To make cupcakes: Blend the eggs, oil, sugar, and pumpkin in a large mixing bowl; set aside. Stir together dry ingredients in a separate bowl. Add dry ingredients to pumpkin mixture and beat until well blended. POUR into lined muffin tins. Fill about 2/3 full. Bake in preheated 350 degrees oven for 30 minutes or until center springs back when touched. Cool 30 minutes. Spread with frosting.
To make frosting: Beat cream cheese and butter until fluffy. Add remaining ingredients and beat until smooth. Spread over cooled cupcakes.",80,Harvest Pumpkin Cupcakes
